CUSTOMER_GROUP_CODE,CUSTOMER_ID,MAJOR_MARKET_ID,MAJOR_MARKET_NAME,DELIVERY_MON,QUANTITY_LBS
1,"1,100",1,OPEN MOLD REINFORCED,1/1/14,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/2/14,"30,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/3/14,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/4/14,"30,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/5/14,"30,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/8/14,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/3/15,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/4/15,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/7/15,"30,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/8/15,"30,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/11/15,"10,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/7/16,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/9/16,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/10/16,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/11/16,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/12/16,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/1/17,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/3/17,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/4/17,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/5/17,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/6/17,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/7/17,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/8/17,"37,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/9/17,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/10/17,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/12/17,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/1/18,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/2/18,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/5/18,"58,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/7/18,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/8/18,"58,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/9/18,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/10/18,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/11/18,"29,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/12/18,"53,000"
1,"1,100",1,OPEN MOLD REINFORCED,1/3/19,"29,000"
1,"1,150",2,CLOSED MOLD,1/1/14,"49,000"
1,"1,150",2,CLOSED MOLD,1/2/14,"97,000"
1,"1,150",2,CLOSED MOLD,1/5/16,"49,000"
1,"1,150",2,CLOSED MOLD,1/6/16,"73,000"
1,"1,150",2,CLOSED MOLD,1/9/16,"24,000"
1,"1,150",2,CLOSED MOLD,1/10/16,"24,000"
1,"1,150",2,CLOSED MOLD,1/11/16,"24,000"
1,"1,150",2,CLOSED MOLD,1/12/16,"24,000"
1,"1,150",2,CLOSED MOLD,1/1/17,"24,000"
1,"1,150",2,CLOSED MOLD,1/2/17,"49,000"
1,"1,150",2,CLOSED MOLD,1/3/17,"49,000"
1,"1,150",2,CLOSED MOLD,1/4/17,"43,000"
1,"1,150",2,CLOSED MOLD,1/5/17,"24,000"
1,"1,150",2,CLOSED MOLD,1/6/17,"24,000"
1,"1,150",2,CLOSED MOLD,1/7/17,"24,000"
1,"1,150",2,CLOSED MOLD,1/8/17,"24,000"
1,"1,150",2,CLOSED MOLD,1/10/17,"49,000"
1,"1,150",2,CLOSED MOLD,1/1/18,"5,000"
1,"1,150",2,CLOSED MOLD,1/3/18,0
1,"1,150",2,CLOSED MOLD,1/5/18,"5,000"
1,"1,150",2,CLOSED MOLD,1/8/18,"17,000"
1,"1,150",2,CLOSED MOLD,1/4/19,"39,000"
1,"1,153",4,DISTRIBUTION,1/1/14,"52,000"
1,"1,153",4,DISTRIBUTION,1/2/14,"80,000"
1,"1,153",4,DISTRIBUTION,1/4/14,"20,000"
1,"1,153",4,DISTRIBUTION,1/2/15,0
1,"1,153",4,DISTRIBUTION,1/5/16,"78,000"
1,"1,153",4,DISTRIBUTION,1/6/16,"40,000"
1,"1,153",4,DISTRIBUTION,1/7/16,"79,000"
1,"1,153",4,DISTRIBUTION,1/8/16,"39,000"
1,"1,153",4,DISTRIBUTION,1/9/16,"39,000"
1,"1,153",4,DISTRIBUTION,1/10/16,"119,000"
1,"1,153",4,DISTRIBUTION,1/11/16,"118,000"
1,"1,153",4,DISTRIBUTION,1/3/17,"39,000"
1,"1,153",4,DISTRIBUTION,1/5/17,"39,000"
1,"1,153",4,DISTRIBUTION,1/7/17,"40,000"
1,"1,153",4,DISTRIBUTION,1/8/17,"78,000"
1,"1,153",4,DISTRIBUTION,1/9/17,"119,000"
1,"1,153",4,DISTRIBUTION,1/10/17,"118,000"
1,"1,153",4,DISTRIBUTION,1/11/17,"39,000"
1,"1,153",4,DISTRIBUTION,1/12/17,"40,000"
1,"1,153",4,DISTRIBUTION,1/1/18,"39,000"
1,"1,153",4,DISTRIBUTION,1/4/18,"40,000"
1,"1,153",4,DISTRIBUTION,1/5/18,"78,000"
1,"1,153",4,DISTRIBUTION,1/6/18,"39,000"
1,"1,153",4,DISTRIBUTION,1/8/18,"39,000"
1,"1,153",4,DISTRIBUTION,1/9/18,"78,000"
1,"1,153",4,DISTRIBUTION,1/12/18,"78,000"
1,"1,153",4,DISTRIBUTION,1/2/19,"39,000"
1,"1,153",4,DISTRIBUTION,1/4/19,"40,000"
1,"1,153",4,DISTRIBUTION,1/6/19,"40,000"
1,"1,153",4,DISTRIBUTION,1/9/19,"40,000"
1,"1,153",4,DISTRIBUTION,1/10/19,"79,000"
1,"1,153",4,DISTRIBUTION,1/11/19,"79,000"
1,"1,153",4,DISTRIBUTION,1/12/19,"40,000"
1,"1,153",4,DISTRIBUTION,1/1/20,"40,000"
1,"1,153",4,DISTRIBUTION,1/2/20,"39,000"
1,"1,153",4,DISTRIBUTION,1/5/20,"159,000"
1,"1,153",4,DISTRIBUTION,1/7/20,"79,000"
1,"1,153",4,DISTRIBUTION,1/11/20,"79,000"
1,"1,153",4,DISTRIBUTION,1/2/21,"79,000"
1,"1,153",4,DISTRIBUTION,1/9/22,"40,000"
1,"1,153",4,DISTRIBUTION,1/11/22,"40,000"
1,"1,153",4,DISTRIBUTION,1/1/24,"39,000"
1,"1,153",4,DISTRIBUTION,1/2/24,"39,000"
1,"1,181",1,OPEN MOLD REINFORCED,1/6/16,"39,000"
1,"1,181",1,OPEN MOLD REINFORCED,1/8/16,0
1,"1,181",1,OPEN MOLD REINFORCED,1/11/16,"39,000"
1,"1,181",1,OPEN MOLD REINFORCED,1/3/17,"39,000"
1,"1,181",1,OPEN MOLD REINFORCED,1/7/17,"39,000"
1,"1,181",1,OPEN MOLD REINFORCED,1/9/17,"39,000"
1,"1,181",1,OPEN MOLD REINFORCED,1/4/18,"39,000"
1,"1,181",1,OPEN MOLD REINFORCED,1/8/18,"39,000"
1,"1,181",1,OPEN MOLD REINFORCED,1/1/19,"39,000"
1,"1,181",1,OPEN MOLD REINFORCED,1/2/20,"10,000"
1,"1,181",1,OPEN MOLD REINFORCED,1/5/20,"6,000"
1,"1,181",1,OPEN MOLD REINFORCED,1/5/21,"15,000"
1,"1,195",1,OPEN MOLD REINFORCED,1/1/17,0
1,"1,211",1,OPEN MOLD REINFORCED,1/5/16,"92,000"
1,"1,211",1,OPEN MOLD REINFORCED,1/6/16,"92,000"
1,"1,211",1,OPEN MOLD REINFORCED,1/7/16,"12,000"
1,"1,211",1,OPEN MOLD REINFORCED,1/8/16,"49,000"
1,"1,211",1,OPEN MOLD REINFORCED,1/9/16,"109,000"
1,"1,211",1,OPEN MOLD REINFORCED,1/10/16,"97,000"
1,"1,211",1,OPEN MOLD REINFORCED,1/11/16,"61,000"
1,"1,211",1,OPEN MOLD REINFORCED,1/12/16,"49,000"
1,"1,211",1,OPEN MOLD REINFORCED,1/1/17,"43,000"
1,"1,211",1,OPEN MOLD REINFORCED,1/2/17,"44,000"
1,"1,211",1,OPEN MOLD REINFORCED,1/3/17,"44,000"
1,"1,211",1,OPEN MOLD REINFORCED,1/4/17,"44,000"
1,"1,211",1,OPEN MOLD REINFORCED,1/6/17,"44,000"
1,"1,211",1,OPEN MOLD REINFORCED,1/9/17,0
1,"1,216",1,OPEN MOLD REINFORCED,1/6/16,"2,000"
1,"1,216",1,OPEN MOLD REINFORCED,1/8/16,"6,000"
1,"1,216",1,OPEN MOLD REINFORCED,1/9/16,0
